회차,교시,번호,문제명,대분류,핵심 키워드,난이도
105,1,1,30층 이상 건축물 엘리베이터 설치 설계 고려사항 및 군관리 방식,4. 부하 설비,엘리베이터 군관리 설계,중
105,1,2,조명설계 시 눈부심 평가방법과 빛에 의한 순간적인 시력장애 현상,4. 부하 설비,눈부심 평가 시력장애,중
105,1,3,전력용 콘덴서의 열화원인과 열화대책,3. 수배전 설비,콘덴서 열화 원인 대책,중
105,1,4,전력간선의 배선 부설방식을 분류하고 특징 설명,3. 수배전 설비,배선 부설방식 간선설계,하
105,1,5,피뢰기의 열 폭주 현상 설명,3. 수배전 설비,피뢰기 열폭주 메커니즘,상
105,1,6,3권선 변압기의 용도와 특징 설명,3. 수배전 설비,3권선 변압기 용도 특징,중
105,1,7,공심변류기의 구조와 특성 설명,3. 수배전 설비,공심변류기 구조 특성,상
105,1,8,저압 전로 중 저압 개폐기 필요개소 및 시설방법,3. 수배전 설비,저압 개폐기 시설기준,하
105,1,9,전기설비에서 역률개선 기대효과 설명,7. 에너지/진단,역률개선 효과 전력손실경감,하
105,1,10,접지시스템의 접속방법 중 발열 용접과 압착 슬리브 접속방법,6. KEC/접지/방재,발열용접 압착슬리브,중
105,1,11,태양광 발전설비 전력계통 연계 시 인버터의 단독운전 방지기능,5. 신재생/신기술,단독운전 방지 PCS,중
105,1,12,LED(Light Emitting Diode)램프의 발광원리와 특징,4. 부하 설비,LED 발광원리 특징,하
105,1,13,"22.9kV 수전설비 과전류 계정기 Tap 설정(18A, 30/5 CT)",3. 수배전 설비,OCR Tap 설정 계산,상
105,2,1,등전위본딩의 개념과 감전보호용 등전위본딩 설명,6. KEC/접지/방재,등전위본딩 감전보호,중
105,2,2,GPT(Grounded Potential Transformer)에서 발생되는 중성점 불안정 현상의 발생원인과 대책,3. 수배전 설비,GPT 중성점 불안정 현상,상
105,2,3,변압기 이행전압의 개념과 보호방법 설명,3. 수배전 설비,변압기 이행전압 보호,상
105,2,4,수변전설비 설계 시 환경에 미치는 영향과 대안 설명,8. 법규/설계,수변전설비 환경영향,중
105,2,5,한전에서 정하고 있는 분산형 전원의 계통연계 기준 설명,8. 법규/설계,분산형전원 계통연계기준,중
105,2,6,3상단락 고장 시 차단기 차단용량 및 한류리액터 리액턴스 계산,2. 전력 계통,단락용량 한류리액터 계산,상
105,3,1,"에너지절약 계획서 의무/권장사항(수변전, 조명, 전력간선)",7. 에너지/진단,에너지절약 계획서,중
105,3,2,원방감시제어(SCADA: Supervisory Control and Data Acquisition) 시스템,8. 법규/설계,SCADA 원방감시제어,중
105,3,3,동상 다조케이블 포설 시 전류의 불평형 방지 방안,3. 수배전 설비,다조케이블 전류불평형,상
105,3,4,공동구 내 설치되는 케이블의 방화대책 설명,6. KEC/접지/방재,공동구 화재방호 대책,중
105,3,5,풍력발전용 발전기 선정 고려사항과 풍력터빈 정지장치 시설기준,5. 신재생/신기술,풍력발전 시설기준,중
105,3,6,무정전전원장치(UPS) 설계 시 고려사항과 UPS용 축전지 용량산정,3. 수배전 설비,UPS 용량산정 축전지,상
105,4,1,태양광발전용 전력변환장치(PCS)의 회로방식 설명,5. 신재생/신기술,PCS 회로방식 태양광,중
105,4,2,전력선 통신시스템(PLC Power Line Communication) 설명,8. 법규/설계,PLC 전력선통신,하
105,4,3,DALI(Digital Addressable Lighting Interface) 프로토콜을 이용한 조광기술,4. 부하 설비,DALI 조광제어 프로토콜,중
105,4,4,변압기의 수명과 과부하운전과의 관계 및 과부하운전 시 고려사항,3. 수배전 설비,변압기 수명 과부하운전,중
105,4,5,전기설비의 내진설계 개념 및 내진대책 설명,6. KEC/접지/방재,전기설비 내진설계,중
105,4,6,에너지 저장시스템(ESS)의 종류인 초 고용량 커패시터(Super Capacitor),5. 신재생/신기술,슈퍼커패시터 ESS,중
106,1,1,수변전설비 설계에서 변압기 용량 산정 방법,3. 수배전 설비,변압기 용량산정 수용률,중
106,1,2,변류기 부담의 종류 및 적용,3. 수배전 설비,CT 부담 정격,중
106,1,3,접지전극의 과도현상과 그 대책,6. KEC/접지/방재,접지전극 과도현상 임펄스,상
106,1,4,전력케이블 손실 종류(도체손 유전체손 연피손),3. 수배전 설비,케이블 손실 유전체손,중
106,1,5,병렬 회로 전원전압 및 선로 손실 전력 계산,1. 기초 이론,회로망 계산 복소수전력,상
106,1,6,저압차단기 용도별(주택용/산업용) 적용 및 동작특성,3. 수배전 설비,저압차단기 동작시간,중
106,1,7,백색 LED 광원을 사용한 도광식 유도등,4. 부하 설비,도광식 유도등 LED,하
106,1,8,전압강하 벡터도 및 기본식 설명,1. 기초 이론,전압강하 유도식 벡터도,중
106,1,9,태양전지 바이패스 다이오드와 블로킹 다이오드 역할,5. 신재생/신기술,바이패스 블로킹 다이오드,중
106,1,10,수변전 설비 공급 신뢰도(사고확률 신뢰도계산),2. 전력 계통,수변전 신뢰도 계산,상
106,1,11,조도계산 시 광손실률 설명,4. 부하 설비,광손실률 감광보상률,하
106,1,12,유도전동기 벡터 인버터 제어 원리 및 구성,4. 부하 설비,벡터제어 인버터 유도전동기,상
106,1,13,SMPS(Switched Mode Power Supply) 종류 및 적용 방법,4. 부하 설비,SMPS 회로방식 적용,중
106,2,1,백색 LED 구현 방법(발광원리 종류별),4. 부하 설비,백색 LED 발광원리,중
106,2,2,뇌 이상전압이 전기설비에 미치는 영향,6. KEC/접지/방재,뇌 이상전압 서지 영향,중
106,2,3,Bus Duct System의 구성 및 설계 공시 유의사항,3. 수배전 설비,버스덕트 설계 시공,중
106,2,4,특고압 수전설비 지중 케이블 용량산정 방법,3. 수배전 설비,지중케이블 허용전류 용량산정,상
106,2,5,구내방송설비 스피커 적용 및 사무실 스피커 배치방법,4. 부하 설비,구내방송 스피커 배치 BGM,하
106,2,6,주택용 일괄소등 스위치와 융합기술,4. 부하 설비,일괄소등 스위치 스마트홈,하
106,3,1,백화점 조명계획 주요 요소별 설계 및 시공방법,4. 부하 설비,백화점 조명 설계,중
106,3,2,공동주택 변압기용량 과적용의 문제점과 대책,3. 수배전 설비,공동주택 변압기용량 적정성,중
106,3,3,KSC IEC 62305 피뢰시스템(LPS) 외부/내부 시스템,6. KEC/접지/방재,LPS 외부내부 피뢰시스템,상
106,3,4,22.9 kV-Y 수전용 변압기 보호장치,3. 수배전 설비,수전용 변압기 보호 계전기,중
106,3,5,변전설비 온라인 진단시스템,7. 에너지/진단,온라인 예방진단 시스템,상
106,3,6,저압 계통 PEN선 또는 중성선 단선 시 위험성과 대책,6. KEC/접지/방재,중성선 단선 사고 대책,상
106,4,1,대지저항률 측정 전위강하법(3전극법) 및 Wenner 4전극법 비교,6. KEC/접지/방재,전위강하법 웨너 4전극법,상
106,4,2,교류 1 kV 초과 전력설비 접지시스템 안전기준(IEC 61936-1),6. KEC/접지/방재,IEC 61936 접지 안전기준,상
106,4,3,수용가 구내설비 직류 배전과 교류 배전 비교 및 고려사항,2. 전력 계통,직류배전 교류배전 비교,중
106,4,4,VCB(진공차단기) 적용 고려사항 및 적용기준,3. 수배전 설비,VCB 차단기 특성,중
